00079.jpg r:2.1191695850575343e-05, g:2.5139899662462994e-05, b:2.658709308889229e-05
00080.jpg r:0.000548170180991292, g:0.0007516758050769567, b:0.0008000825182534754
00081.jpg r:0.00032476772321388125, g:0.0003099282330367714, b:0.0002794912434183061
00082.jpg r:0.00025629077572375536, g:0.0002446799771860242, b:0.00021629627735819668
00083.jpg r:0.0005666316719725728, g:0.0005424206610769033, b:0.00048647302901372313
00084.jpg r:6.55688636470586e-05, g:6.826929893577471e-05, b:7.31933323550038e-05
00085.jpg r:0.00013293567462824285, g:0.00014054311031941324, b:0.0001512796152383089
00086.jpg r:0.00013879321340937167, g:0.00014614872634410858, b:0.0001526373962406069
00087.jpg r:0.00017780922644305974, g:0.0001692743826424703, b:0.00015630992129445076
00088.jpg r:0.00024093101092148572, g:0.00025373947573825717, b:0.00027274759486317635
00089.jpg r:0.0004907564725726843, g:0.0004973280010744929, b:0.0005349304410628974
00090.jpg r:0.0005163374589756131, g:0.0005518497200682759, b:0.000636306416708976
00091.jpg r:0.000304925226373598, g:0.00037644384428858757, b:0.00041769747622311115
00092.jpg r:0.0006599895423278213, g:0.0007053646259009838, b:0.0007918093469925225
00093.jpg r:0.0016193962655961514, g:0.002483340445905924, b:0.003873278386890888
00094.jpg r:9.349712490802631e-05, g:0.00010612361802486703, b:9.511363896308467e-05
00095.jpg r:0.00022602843819186091, g:0.00022415527200791985, b:0.00019936813623644412
00096.jpg r:0.00035913853207603097, g:0.0003286539576947689, b:0.0002700785989873111
00097.jpg r:9.871240763459355e-05, g:7.162663678172976e-05, b:6.122892955318093e-05
00098.jpg r:4.909422204946168e-05, g:6.1253180319909e-05, b:8.825360418995842e-05
00099.jpg r:0.00035568641033023596, g:0.0003776922821998596, b:0.0004078856436535716
00100.jpg r:0.0002899880346376449, g:0.0003116636071354151, b:0.00034291413612663746
00101.jpg r:0.00033806535066105425, g:0.0003324587014503777, b:0.0003427413175813854
00102.jpg r:0.0001988512958632782, g:0.00019647862063720822, b:0.0001909508282551542
00103.jpg r:0.00025623198598623276, g:0.00024406483862549067, b:0.0002363582607358694
00104.jpg r:7.975171320140362e-05, g:0.00012491075904108584, b:0.00011276709847152233
00105.jpg r:0.0006950999377295375, g:0.000628585577942431, b:0.0005798757774755359
00106.jpg r:0.0005255355499684811, g:0.0004969501751475036, b:0.0004417598247528076
00107.jpg r:0.00010300529538653791, g:0.0001094683539122343, b:0.00010963554086629301
00108.jpg r:0.0004200259572826326, g:0.000403698708396405, b:0.0004284204915165901
00109.jpg r:0.00025648775044828653, g:0.0002960612182505429, b:0.000315965706249699
00111.jpg r:0.00015192148566711694, g:0.0001651319325901568, b:0.0001831713889259845
00112.jpg r:0.0006636186153627932, g:0.0006968581001274288, b:0.0007765062619000673
00113.jpg r:8.969727787189186e-05, g:8.934614743338898e-05, b:9.49376990320161e-05
00114.jpg r:0.00026447459822520614, g:0.0002762521617114544, b:0.0002984350430779159
00115.jpg r:0.0003020089352503419, g:0.0003709367592819035, b:0.0004865108639933169
00116.jpg r:0.001723995665088296, g:0.0019326112233102322, b:0.0024130702950060368
00117.jpg r:0.00010417980956844985, g:0.0001208606336149387, b:0.0001551537134218961
